barcode,consensus,nReads
B7,NA%Apicomplexa%Conoidasida%Archigregarinorida%Selenidiidae%Selenidium%Selenidium terebellae,4
B7,NA%Bacillariophyta%Bacillariophyceae%NA%NA%NA%NA,2
B7,NA%Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%NA%NA,2
B7,NA%Bacillariophyta%Coscinodiscophyceae%NA%NA%NA%NA,5
B7,NA%Bacillariophyta%Fragilariophyceae%Licmophorales%Ulnariaceae%Ulnaria%NA,11
B7,NA%Bacillariophyta%Fragilariophyceae%Licmophorales%Ulnariaceae%Ulnaria%Ulnaria acus,82
B7,NA%Bacillariophyta%NA%NA%NA%NA%NA,71
B7,NA%Cercozoa%NA%NA%NA%NA%NA,1
B7,NA%Cercozoa%Thecofilosea%Cryomonadida%Rhogostomidae%Sacciforma%Sacciforma sacciformis,38
B7,NA%Ciliophora%NA%NA%NA%NA%NA,30
B7,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%Coleps%Coleps spetai,2
B7,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%NA%NA,5
B7,NA%Ciliophora%Spirotrichea%Choreotrichida%NA%NA%NA,1
B7,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%Euplotes eurystomus,1
B7,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,210
B7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,316
B7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%NA%NA,201
B7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Novistrombidium%Novistrombidium orientale,1
B7,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%NA%NA,12
B7,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%NA,2
B7,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,9
B7,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%Parabirojimia similis,11
B7,NA%Ciliophora%Spirotrichea%Urostylida%Urostylidae%Uroleptus%Uroleptus stueberi,2
B7,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Arachnula%Arachnula impatiens,3
B7,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Vernalophrys%Vernalophrys algivore,457
B7,NA%Euglenozoa%Euglenida%Euglenales%NA%Colacium%Colacium vesiculosum,2
B7,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%NA%NA,1
B7,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,13
B7,NA%NA%Bigyra%Bicosoecida%Siluaniidae%NA%NA,2
B7,NA%NA%Choanoflagellata%Craspedida%Salpingoecidae%Monosiga%Monosiga ovata,8
B7,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,28
B7,NA%NA%Chrysophyceae%Chromulinales%Chrysolepidomonadaceae%Chrysolepidomonas%Chrysolepidomonas dendrolepidota,7
B7,NA%NA%Chrysophyceae%Chromulinales%NA%NA%NA,2
B7,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas bandaiensis,3
B7,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas imperforata,1
B7,NA%NA%Chrysophyceae%NA%NA%NA%NA,6
B7,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,68
B7,NA%NA%Cryptophyceae%NA%NA%NA%NA,104
B7,NA%NA%Cryptophyceae%NA%NA%Urgorri%Urgorri complanatus,921
B7,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Geminigera%Geminigera cryophila,10
B7,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Teleaulax%Teleaulax amphioxeia,17
B7,NA%NA%Cryptophyceae%Pyrenomonadales%NA%NA%NA,8
B7,NA%NA%Cryptophyceae%Pyrenomonadales%Pyrenomonadaceae%Rhodomonas%Rhodomonas maculata,25
B7,NA%NA%Dinophyceae%Gonyaulacales%Ceratiaceae%Ceratium%Ceratium hirundinella,1
B7,NA%NA%Dinophyceae%Gonyaulacales%Ceratiaceae%Ceratium%NA,3
B7,NA%NA%Dinophyceae%NA%NA%NA%NA,160
B7,NA%Oomycota%NA%NA%NA%NA%NA,1
B7,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%NA%NA,41
B7,Viridiplantae%Chlorophyta%Chlorophyceae%NA%NA%NA%NA,1
B7,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%Neochloridaceae%Neochloris%Neochloris aquatica,411
B7,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%Selenastraceae%Monoraphidium%NA,2
B7,Viridiplantae%Chlorophyta%NA%NA%NA%NA%NA,136
B7,Viridiplantae%Chlorophyta%Trebouxiophyceae%NA%NA%NA%NA,2
B7,Viridiplantae%Chlorophyta%Ulvophyceae%NA%NA%NA%NA,194
B7,Viridiplantae%Chlorophyta%Ulvophyceae%Ulotrichales%NA%NA%NA,75
B7,Viridiplantae%Chlorophyta%Ulvophyceae%Ulotrichales%Ulotrichaceae%Ulothrix%Ulothrix zonata,22
B7,Viridiplantae%NA%NA%NA%NA%NA%NA,17
B7,Viridiplantae%Streptophyta%Klebsormidiophyceae%Klebsormidiales%NA%Streptofilum%Streptofilum capillatum,12
B8,Fungi%Ascomycota%NA%NA%NA%NA%NA,32
B8,Fungi%Basidiomycota%NA%NA%NA%NA%NA,7
B8,Fungi%NA%NA%NA%NA%NA%NA,159
B8,Metazoa%Annelida%Clitellata%NA%NA%NA%NA,342
B8,Metazoa%Annelida%Clitellata%Tubificida%Naididae%Dero%Dero digitata,18
B8,Metazoa%Annelida%Clitellata%Tubificida%Naididae%NA%NA,82
B8,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Macrotrichidae%Acantholeberis%Acantholeberis curvirostris,1
B8,Metazoa%Arthropoda%Branchiopoda%Diplostraca%NA%NA%NA,4
B8,Metazoa%Arthropoda%Collembola%NA%NA%NA%NA,1
B8,Metazoa%Arthropoda%Malacostraca%Mysida%Mysidae%Archaeomysis%Archaeomysis japonica,1
B8,Metazoa%Arthropoda%NA%NA%NA%NA%NA,31
B8,Metazoa%Arthropoda%Ostracoda%Podocopida%Cyprididae%Cypridopsis%NA,14
B8,Metazoa%NA%NA%NA%NA%NA%NA,775
B8,Metazoa%Nematoda%Chromadorea%Plectida%Plectidae%NA%NA,1
B8,Metazoa%Nematoda%Enoplea%Triplonchida%Tobrilidae%NA%NA,42
B8,Metazoa%Platyhelminthes%Catenulida%NA%Stenostomidae%Stenostomum%NA,1402
B8,Metazoa%Platyhelminthes%Catenulida%NA%Stenostomidae%Stenostomum%Stenostomum bryophilum,5
B8,Metazoa%Rotifera%Eurotatoria%NA%NA%NA%NA,7
B8,Metazoa%Rotifera%Eurotatoria%Ploima%Proalidae%Proales%Proales similis,319
B8,NA%Apicomplexa%Conoidasida%Eucoccidiorida%Cryptosporidiidae%Cryptosporidium%Cryptosporidium baileyi,1
B8,NA%Apicomplexa%Conoidasida%Eugregarinorida%Gregarinidae%Gregarina%Gregarina blattarum,3
B8,NA%Apicomplexa%Conoidasida%NA%NA%NA%NA,5
B8,NA%Bacillariophyta%Bacillariophyceae%Cocconeidales%Achnanthidiaceae%Lemnicola%Lemnicola hungarica,86
B8,NA%Bacillariophyta%Bacillariophyceae%NA%NA%NA%NA,106
B8,NA%Bacillariophyta%Bacillariophyceae%Naviculales%NA%NA%NA,18
B8,NA%Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%NA%NA,10
B8,NA%Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%Navicula%NA,63
B8,NA%Bacillariophyta%Coscinodiscophyceae%NA%NA%NA%NA,23
B8,NA%Bacillariophyta%Coscinodiscophyceae%Thalassiosirales%NA%NA%NA,3
B8,NA%Bacillariophyta%Coscinodiscophyceae%Thalassiosirales%Thalassiosiraceae%Stephanocyclus%Stephanocyclus meneghinianus,1
B8,NA%Bacillariophyta%NA%NA%NA%NA%NA,75
B8,NA%Ciliophora%Litostomatea%Haptorida%NA%NA%NA,7
B8,NA%Ciliophora%Litostomatea%NA%NA%NA%NA,1
B8,NA%Ciliophora%NA%NA%NA%NA%NA,5
B8,NA%Ciliophora%Oligohymenophorea%Peniculida%NA%NA%NA,1
B8,NA%Ciliophora%Oligohymenophorea%Peniculida%Parameciidae%Paramecium%Paramecium bursaria,6
B8,NA%Ciliophora%Phyllopharyngea%Chlamydodontida%Chilodonellidae%Chilodonella%Chilodonella uncinata,26
B8,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%Coleps%Coleps spetai,5
B8,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%Euplotes eurystomus,1
B8,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%NA,1
B8,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,158
B8,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,2
B8,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Cyrtohymena%Cyrtohymena citrina,2
B8,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,34
B8,NA%Ciliophora%Spirotrichea%Stichotrichida%NA%NA%NA,11
B8,NA%Euglenozoa%Euglenida%Euglenales%NA%NA%NA,8
B8,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,2
B8,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus platyaulax,14
B8,NA%Euglenozoa%Euglenida%Petalomonadida%Scytomonadidae%Petalomonas%Petalomonas sphagnophila,14
B8,NA%NA%Bigyra%Bicosoecida%Bicosoecidae%Bicosoeca%Bicosoeca petiolata,3
B8,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Filos%Filos agilis,8
B8,NA%NA%Bigyra%Bicosoecida%Siluaniidae%NA%NA,43
B8,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Nerada%Nerada mexicana,5
B8,NA%NA%Bigyra%NA%NA%NA%NA,1
B8,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,1
B8,NA%NA%Chrysophyceae%Chromulinales%NA%NA%NA,7
B8,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,10384
B8,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%NA,14
B8,NA%NA%Cryptophyceae%NA%NA%NA%NA,26
B8,NA%NA%Cryptophyceae%Pyrenomonadales%Chroomonadaceae%Komma%Komma caudata,18
B8,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Teleaulax%Teleaulax amphioxeia,76
B8,NA%NA%Cryptophyceae%Pyrenomonadales%NA%NA%NA,685
B8,NA%NA%Dinophyceae%NA%NA%NA%NA,8
B8,NA%NA%Eustigmatophyceae%Eustigmatales%Chlorobotryaceae%NA%NA,6
B8,NA%NA%Ichthyosporea%Ichthyophonida%NA%Anurofeca%Anurofeca richardsi,3
B8,NA%NA%NA%NA%Alphamonaceae%Alphamonas%Alphamonas edax,85
B8,NA%NA%NA%Rotosphaerida%Nucleariidae%Nuclearia%NA,33
B8,NA%NA%Synurophyceae%Synurales%Synuraceae%Chrysosphaerella%Chrysosphaerella rotundata,15
B8,NA%Oomycota%NA%NA%NA%NA%NA,14
B8,NA%Rhodophyta%Stylonematophyceae%Stylonematales%Stylonemataceae%Stylonema%Stylonema alsidii,8
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%Chlamydomonadaceae%NA%NA,1
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%Chlorococcaceae%Chlorococcum%Chlorococcum elkhartiense,21
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%Coleochlamys%Coleochlamys oleifera,1
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%NA%NA,16
B8,Viridiplantae%Chlorophyta%Chlorophyceae%NA%NA%NA%NA,74
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%NA%NA%NA,6
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%Neochloridaceae%Characiopodium%Characiopodium hindakii,7
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%Scenedesmaceae%Tetradesmus%Tetradesmus distendus,6
B8,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%Selenastraceae%Kirchneriella%Kirchneriella obesa,4
B8,Viridiplantae%Chlorophyta%NA%NA%NA%NA%NA,255
B8,Viridiplantae%Chlorophyta%Trebouxiophyceae%Chlorellales%Chlorellaceae%Chlorella%Chlorella sorokiniana,52
B8,Viridiplantae%Chlorophyta%Trebouxiophyceae%NA%NA%NA%NA,102
B8,Viridiplantae%Chlorophyta%Trebouxiophyceae%NA%NA%Picochlorum%Picochlorum atomus,4
B8,Viridiplantae%Chlorophyta%Ulvophyceae%NA%NA%NA%NA,15
B8,Viridiplantae%Chlorophyta%Ulvophyceae%Scotinosphaerales%Scotinosphaeraceae%Scotinosphaera%Scotinosphaera lemnae,7
B8,Viridiplantae%Chlorophyta%Ulvophyceae%Ulotrichales%NA%NA%NA,23
B8,Viridiplantae%NA%NA%NA%NA%NA%NA,101
B8,Viridiplantae%Streptophyta%Magnoliopsida%Alismatales%Araceae%NA%NA,1
B8,Viridiplantae%Streptophyta%Magnoliopsida%NA%NA%NA%NA,15
B8,Viridiplantae%Streptophyta%NA%NA%NA%NA%NA,18
B8,Viridiplantae%Streptophyta%Polypodiopsida%Salviniales%Marsileaceae%Marsilea%Marsilea schelpeana,8
B8,Viridiplantae%Streptophyta%Zygnemophyceae%NA%NA%NA%NA,1
C6,Fungi%Basidiomycota%Tremellomycetes%NA%NA%NA%NA,2
C6,Fungi%NA%NA%NA%NA%NA%NA,2
C6,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,6
C6,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,2
C6,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,1
C6,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas bandaiensis,13
C6,NA%NA%Chrysophyceae%NA%NA%NA%NA,1
C6,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,21
C6,NA%NA%Dinophyceae%NA%NA%NA%NA,4
C6,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%Chlamydomonadaceae%Carteria%Carteria radiosa,1
C6,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%NA%NA,6
C6,Viridiplantae%Chlorophyta%NA%NA%NA%NA%NA,5
C6,Viridiplantae%Streptophyta%NA%NA%NA%NA%NA,1
C7,Fungi%Basidiomycota%Tremellomycetes%Tremellales%Cuniculitremaceae%Kockovaella%NA,1
C7,Fungi%Chytridiomycota%Chytridiomycetes%Rhizophydiales%Rhizophydiaceae%Rhizophydium%Rhizophydium planktonicum,2
C7,Fungi%Chytridiomycota%NA%NA%NA%NA%NA,7
C7,Fungi%NA%NA%NA%NA%NA%NA,6
C7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Bosminidae%Bosmina%Bosmina longirostris,1
C7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%Anchistropus%Anchistropus emarginatus,12
C7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%Chydorus%Chydorus sphaericus,37
C7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%NA%NA,17
C7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%NA%NA%NA,1
C7,Metazoa%Arthropoda%NA%NA%NA%NA%NA,48
C7,Metazoa%Cnidaria%Anthozoa%Scleractinia%Mussidae%Mycetophyllia%Mycetophyllia danaana,1
C7,Metazoa%NA%NA%NA%NA%NA%NA,6
C7,Metazoa%Rotifera%Eurotatoria%NA%NA%NA%NA,1
C7,NA%Apicomplexa%Conoidasida%Archigregarinorida%Selenidiidae%Selenidium%Selenidium terebellae,1
C7,NA%Bacillariophyta%Bacillariophyceae%NA%NA%NA%NA,1
C7,NA%Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%NA%NA,2
C7,NA%Bacillariophyta%Fragilariophyceae%Licmophorales%Ulnariaceae%Ulnaria%Ulnaria acus,32
C7,NA%Bacillariophyta%Fragilariophyceae%Licmophorales%Ulnariaceae%Ulnaria%Ulnaria ulna,1
C7,NA%Bacillariophyta%Fragilariophyceae%NA%NA%NA%NA,2
C7,NA%Bacillariophyta%NA%NA%NA%NA%NA,49
C7,NA%Cercozoa%NA%Cercomonadida%Cercomonadidae%NA%NA,1
C7,NA%Cercozoa%Thecofilosea%Cryomonadida%Rhogostomidae%Sacciforma%Sacciforma sacciformis,27
C7,NA%Ciliophora%NA%NA%NA%NA%NA,28
C7,NA%Ciliophora%Oligohymenophorea%Sessilida%NA%NA%NA,1
C7,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%NA%NA,3
C7,NA%Ciliophora%Spirotrichea%Choreotrichida%NA%NA%NA,1
C7,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,133
C7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,245
C7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%NA%NA,241
C7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Novistrombidium%Novistrombidium orientale,1
C7,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,2
C7,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%Parabirojimia similis,3
C7,NA%Ciliophora%Spirotrichea%Stichotrichida%Spirofilidae%Strongylidium%Strongylidium orientale,1
C7,NA%Ciliophora%Spirotrichea%Urostylida%Urostylidae%Uroleptus%Uroleptus stueberi,1
C7,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Arachnula%Arachnula impatiens,4
C7,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Vernalophrys%Vernalophrys algivore,220
C7,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,13
C7,NA%NA%Bigyra%Bicosoecida%Bicosoecidae%Bicosoeca%Bicosoeca petiolata,1
C7,NA%NA%Choanoflagellata%Acanthoecida%Stephanoecidae%Stephanoeca%Stephanoeca diplocostata,1
C7,NA%NA%Choanoflagellata%Craspedida%Salpingoecidae%Monosiga%Monosiga ovata,2
C7,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,52
C7,NA%NA%Chrysophyceae%Chromulinales%Chrysolepidomonadaceae%Chrysolepidomonas%Chrysolepidomonas dendrolepidota,8
C7,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas bandaiensis,4
C7,NA%NA%Chrysophyceae%NA%NA%NA%NA,4
C7,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,45
C7,NA%NA%Cryptophyceae%Cryptomonadales%Hemiselmidaceae%Hemiselmis%Hemiselmis virescens,1
C7,NA%NA%Cryptophyceae%Cyathomonadacea%Goniomonadaceae%Goniomonas%Goniomonas pacifica,4
C7,NA%NA%Cryptophyceae%NA%NA%NA%NA,100
C7,NA%NA%Cryptophyceae%NA%NA%Urgorri%Urgorri complanatus,486
C7,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Geminigera%Geminigera cryophila,3
C7,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%NA%NA,3
C7,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Teleaulax%Teleaulax amphioxeia,8
C7,NA%NA%Cryptophyceae%Pyrenomonadales%NA%NA%NA,5
C7,NA%NA%Cryptophyceae%Pyrenomonadales%Pyrenomonadaceae%Rhodomonas%Rhodomonas maculata,10
C7,NA%NA%Dinophyceae%Gonyaulacales%Ceratiaceae%Ceratium%NA,5
C7,NA%NA%Dinophyceae%NA%NA%NA%NA,104
C7,NA%NA%NA%NA%Alphamonaceae%Alphamonas%Alphamonas edax,1
C7,NA%Oomycota%NA%NA%NA%NA%NA,2
C7,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%NA%NA,24
C7,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%Spondylomoraceae%Pascherina%Pascherina tetras,1
C7,Viridiplantae%Chlorophyta%Chlorophyceae%NA%NA%NA%NA,4
C7,Viridiplantae%Chlorophyta%Chlorophyceae%Sphaeropleales%Neochloridaceae%Neochloris%Neochloris aquatica,234
C7,Viridiplantae%Chlorophyta%NA%NA%NA%NA%NA,184
C7,Viridiplantae%Chlorophyta%Trebouxiophyceae%Chlorellales%NA%NA%NA,1
C7,Viridiplantae%Chlorophyta%Trebouxiophyceae%NA%NA%NA%NA,1
C7,Viridiplantae%Chlorophyta%Ulvophyceae%NA%NA%NA%NA,211
C7,Viridiplantae%Chlorophyta%Ulvophyceae%Ulotrichales%NA%NA%NA,39
C7,Viridiplantae%Chlorophyta%Ulvophyceae%Ulotrichales%Ulotrichaceae%Ulothrix%Ulothrix zonata,40
C7,Viridiplantae%NA%NA%NA%NA%NA%NA,12
C7,Viridiplantae%Streptophyta%Klebsormidiophyceae%Klebsormidiales%NA%Streptofilum%Streptofilum capillatum,1
C7,Viridiplantae%Streptophyta%NA%NA%NA%NA%NA,1
C7,Viridiplantae%Streptophyta%Zygnemophyceae%Zygnematales%Mesotaeniaceae%Tortitaenia%Tortitaenia obscura,1
C8,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%Chydorus%Chydorus sphaericus,99
C8,Metazoa%Arthropoda%Branchiopoda%Diplostraca%NA%NA%NA,1
C8,Metazoa%NA%NA%NA%NA%NA%NA,1
C8,Metazoa%Nematoda%Enoplea%Triplonchida%Tobrilidae%NA%NA,1
C8,NA%Ciliophora%NA%NA%NA%NA%NA,4
C8,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%Euplotes eurystomus,1
C8,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%NA,13
C8,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,10948
C8,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,1
C8,NA%Ciliophora%Spirotrichea%Sporadotrichida%Gonostomatidae%Gonostomum%Gonostomum strenuum,1
C8,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,1
C8,NA%Ciliophora%Spirotrichea%Urostylida%Urostylidae%Uroleptus%Uroleptus stueberi,13
C8,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Vernalophrys%Vernalophrys algivore,1
C8,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,1
C8,NA%NA%Bigyra%Bicosoecida%NA%NA%NA,2
C8,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Filos%Filos agilis,1
C8,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Nerada%Nerada mexicana,1
C8,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,2
C8,NA%NA%Chrysophyceae%Chromulinales%NA%NA%NA,6
C8,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas bandaiensis,2
C8,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,6
C8,NA%NA%Cryptophyceae%Cryptomonadales%Hemiselmidaceae%Hemiselmis%Hemiselmis rufescens,78
C8,NA%NA%Cryptophyceae%NA%NA%NA%NA,7
C8,NA%NA%Dinophyceae%NA%NA%NA%NA,1
C8,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%NA%NA,1
C8,Viridiplantae%Chlorophyta%NA%NA%NA%NA%NA,1
C8,Viridiplantae%Chlorophyta%Ulvophyceae%NA%NA%NA%NA,1
C8,Viridiplantae%Streptophyta%Pinopsida%Pinales%Pinaceae%Pinus%Pinus elliottii,1
D6,Fungi%Ascomycota%NA%NA%NA%NA%NA,6
D6,Fungi%Ascomycota%Saccharomycetes%Saccharomycetales%NA%NA%NA,3
D6,Fungi%Basidiomycota%Agaricomycetes%NA%NA%NA%NA,17
D6,Fungi%Basidiomycota%NA%NA%NA%NA%NA,5
D6,Fungi%Basidiomycota%Tremellomycetes%NA%NA%NA%NA,44
D6,Fungi%NA%NA%NA%NA%NA%NA,184
D6,Metazoa%Arthropoda%Arachnida%NA%NA%NA%NA,1
D6,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Bosminidae%Bosmina%Bosmina longirostris,1
D6,Metazoa%Arthropoda%Branchiopoda%Diplostraca%NA%NA%NA,1
D6,Metazoa%Arthropoda%Collembola%NA%NA%NA%NA,268
D6,Metazoa%Arthropoda%Collembola%Symphypleona%Sminthurididae%Sminthurides%Sminthurides aquaticus,24
D6,Metazoa%Arthropoda%Hexanauplia%NA%NA%NA%NA,1
D6,Metazoa%Arthropoda%Insecta%NA%NA%NA%NA,7
D6,Metazoa%Chordata%Mammalia%Eulipotyphla%Erinaceidae%Erinaceus%Erinaceus europaeus,13
D6,Metazoa%Chordata%NA%NA%NA%NA%NA,24
D6,Metazoa%Gastrotricha%NA%Chaetonotida%Chaetonotidae%NA%NA,1
D6,Metazoa%Gastrotricha%NA%Chaetonotida%NA%NA%NA,1
D6,Metazoa%Mollusca%Cephalopoda%NA%NA%NA%NA,3
D6,Metazoa%NA%NA%NA%NA%NA%NA,17
D6,Metazoa%Nematoda%Chromadorea%Plectida%Plectidae%NA%NA,730
D6,Metazoa%Platyhelminthes%Catenulida%NA%Stenostomidae%Stenostomum%NA,8
D6,NA%Bacillariophyta%Bacillariophyceae%Bacillariales%Bacillariaceae%Nitzschia%Nitzschia dissipata,1
D6,NA%Bacillariophyta%NA%NA%NA%NA%NA,5
D6,NA%Cercozoa%Imbricatea%NA%NA%NA%NA,1
D6,NA%Ciliophora%NA%NA%NA%NA%NA,3
D6,NA%Ciliophora%Oligohymenophorea%Peniculida%Lembadionidae%Lembadion%Lembadion bullinum,1
D6,NA%Ciliophora%Oligohymenophorea%Peniculida%Parameciidae%Paramecium%Paramecium bursaria,3
D6,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%Coleps%Coleps spetai,1
D6,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%Euplotes eurystomus,2
D6,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,626
D6,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,5
D6,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%NA%NA,31
D6,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%NA,1
D6,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%Parabirojimia similis,23
D6,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%NA%NA,4
