barcode,consensus,nReads
A7,NA%Bacillariophyta%NA%NA%NA%NA%NA,19
A7,NA%Cercozoa%Imbricatea%NA%NA%NA%NA,1
A7,NA%Cercozoa%NA%NA%NA%NA%NA,1
A7,NA%Cercozoa%Thecofilosea%Cryomonadida%Rhogostomidae%Sacciforma%Sacciforma sacciformis,6
A7,NA%Ciliophora%NA%NA%NA%NA%NA,17
A7,NA%Ciliophora%Oligohymenophorea%Sessilida%NA%NA%NA,1
A7,NA%Ciliophora%Prostomatea%Prorodontida%Colepidae%Coleps%Coleps spetai,2
A7,NA%Ciliophora%Spirotrichea%Euplotida%Euplotidae%Euplotes%Euplotes eurystomus,5
A7,NA%Ciliophora%Spirotrichea%NA%NA%NA%NA,398
A7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Limnostrombidium%Limnostrombidium viride,62
A7,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%NA%NA,38
A7,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%NA%NA,3
A7,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,1
A7,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%Parabirojimia similis,1
A7,NA%Ciliophora%Spirotrichea%Stichotrichida%Spirofilidae%Strongylidium%Strongylidium orientale,1
A7,NA%Ciliophora%Spirotrichea%Urostylida%Urostylidae%Uroleptus%Uroleptus stueberi,2
A7,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Vernalophrys%Vernalophrys algivore,42
A7,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,9
A7,NA%Euglenozoa%Euglenida%Petalomonadida%Scytomonadidae%Petalomonas%Petalomonas sphagnophila,1
A7,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Filos%Filos agilis,48
A7,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Nerada%Nerada mexicana,3
A7,NA%NA%Choanoflagellata%Acanthoecida%Stephanoecidae%Stephanoeca%Stephanoeca diplocostata,1
A7,NA%NA%Choanoflagellata%Craspedida%Salpingoecidae%Monosiga%Monosiga ovata,2
A7,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Cyclonexis%Cyclonexis annularis,1
A7,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,4
A7,NA%NA%Chrysophyceae%Chromulinales%Chrysolepidomonadaceae%Chrysolepidomonas%Chrysolepidomonas dendrolepidota,1
A7,NA%NA%Chrysophyceae%Chromulinales%Oikomonadaceae%Oikomonas%Oikomonas mutabilis,29
A7,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas longispina,2
A7,NA%NA%Chrysophyceae%NA%NA%NA%NA,7
A7,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,144
A7,NA%NA%Cryptophyceae%Cryptomonadales%Hemiselmidaceae%Hemiselmis%Hemiselmis rufescens,45
A7,NA%NA%Cryptophyceae%Cyathomonadacea%Goniomonadaceae%Goniomonas%Goniomonas pacifica,1
A7,NA%NA%Cryptophyceae%Kathablepharidacea%Katablepharidaceae%NA%NA,1
A7,NA%NA%Cryptophyceae%NA%NA%NA%NA,58
A7,NA%NA%Cryptophyceae%NA%NA%Urgorri%Urgorri complanatus,103
A7,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Geminigera%Geminigera cryophila,1
