Centroid,consensus,barcode,nReads
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,C8,3932
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,D7,4
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,D8,2723
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,E6,4
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,E7,1
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,E8,1105
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,F6,1
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,F7,5
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,F8,1414
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,G6,5
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,G7,2
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,G8,210
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,H4,914
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,H5,6
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,H6,5
2ffb6675-cdbd-42c0-815c-1ae8f755187a,NA%NA%NA%NA%NA%NA%NA,unknown,13
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,A7,1
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,B6,3
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,B7,1
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,C8,138
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,D8,95
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,E6,1
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,E7,2
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,E8,120
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,F8,140
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,G7,1
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,G8,109
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,H4,128
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,H6,2
1b42333c-1160-4a8e-a097-774c5fd3a697,NA%NA%NA%NA%NA%NA%NA,unknown,8
d65e9794-373a-41ca-8791-a2f43098f6e1,NA%NA%NA%NA%NA%NA%NA,G6,1
2745deda-86db-4a28-a240-e2400fe3c0c1,NA%NA%NA%NA%NA%NA%NA,A7,1
2745deda-86db-4a28-a240-e2400fe3c0c1,NA%NA%NA%NA%NA%NA%NA,B6,1
2745deda-86db-4a28-a240-e2400fe3c0c1,NA%NA%NA%NA%NA%NA%NA,B7,5
2745deda-86db-4a28-a240-e2400fe3c0c1,NA%NA%NA%NA%NA%NA%NA,G6,1
2745deda-86db-4a28-a240-e2400fe3c0c1,NA%NA%NA%NA%NA%NA%NA,H6,2
5470402f-d66f-49e7-ab3b-8acf0e4d2af0,NA%NA%NA%NA%NA%NA%NA,F8,1
ec75ad97-601f-4729-943c-b17125fe5547,NA%NA%NA%NA%NA%NA%NA,A7,1
76571925-0d1f-4a1d-95bd-bc3b45af89b6,NA%NA%NA%NA%NA%NA%NA,C8,6
76571925-0d1f-4a1d-95bd-bc3b45af89b6,NA%NA%NA%NA%NA%NA%NA,D8,4
76571925-0d1f-4a1d-95bd-bc3b45af89b6,NA%NA%NA%NA%NA%NA%NA,F8,3
76571925-0d1f-4a1d-95bd-bc3b45af89b6,NA%NA%NA%NA%NA%NA%NA,G8,9
76571925-0d1f-4a1d-95bd-bc3b45af89b6,NA%NA%NA%NA%NA%NA%NA,H4,4
76571925-0d1f-4a1d-95bd-bc3b45af89b6,NA%NA%NA%NA%NA%NA%NA,unknown,1
d35bb60f-145b-432a-a4eb-39fe442c32e6,NA%NA%NA%NA%NA%NA%NA,C7,1
d35bb60f-145b-432a-a4eb-39fe442c32e6,NA%NA%NA%NA%NA%NA%NA,F8,4
d35bb60f-145b-432a-a4eb-39fe442c32e6,NA%NA%NA%NA%NA%NA%NA,G8,1
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,A6,13
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,A7,209
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,A8,1
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,B6,33
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,B7,2333
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,B8,1
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,C6,5
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,C7,3202
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,D6,4
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,D7,3194
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,E6,7
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,E7,2
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,F6,6
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,F7,1
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,F8,2
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,G6,6487
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,G7,5
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,H4,4
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,H5,29
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,H6,8878
7ac9f16b-d7af-4ecd-ab9b-e928762d704a,NA%NA%NA%NA%NA%NA%NA,unknown,84
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,A6,2
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,A7,13
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,B6,1
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,B7,119
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,C6,2
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,C7,149
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,D6,3
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,D7,155
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,E7,1
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,E8,1
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,F8,1
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,G6,297
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,G8,1
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,H4,2
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,H5,3
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,H6,441
5fecd2d5-1753-4ec8-870c-daaf52565dd0,NA%NA%NA%NA%NA%NA%NA,unknown,10
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,A6,1
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,B6,1
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,B7,3
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,C7,2
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,D6,2
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,D7,1
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,E6,1
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,G6,6
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,H5,1
e8bcb8b9-4567-4e81-a7b1-f1aa5e86cb85,NA%NA%NA%NA%NA%NA%NA,H6,12
c9564666-c347-4f4d-b703-c56205869ad5,NA%NA%NA%NA%NA%NA%NA,A6,18
