Centroid,consensus,barcode,nReads
6f4f8ec1-af8e-4fe9-b023-0b8fd5438d93,NA%NA%NA%NA%NA%NA%NA,G6,2
6f4f8ec1-af8e-4fe9-b023-0b8fd5438d93,NA%NA%NA%NA%NA%NA%NA,H6,1
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,A8,2
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,B8,5
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,E7,5
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,F7,1
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,G7,3
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,H5,6
7a1e0602-ba24-4c2d-a6b0-8a159654f18d,NA%NA%NA%NA%NA%NA%NA,H6,1
97d43ee1-163a-44ad-acf8-014f2ed1180d,NA%NA%NA%NA%NA%NA%NA,B7,1
97d43ee1-163a-44ad-acf8-014f2ed1180d,NA%NA%NA%NA%NA%NA%NA,C7,1
97d43ee1-163a-44ad-acf8-014f2ed1180d,NA%NA%NA%NA%NA%NA%NA,D7,2
97d43ee1-163a-44ad-acf8-014f2ed1180d,NA%NA%NA%NA%NA%NA%NA,F7,1
97d43ee1-163a-44ad-acf8-014f2ed1180d,NA%NA%NA%NA%NA%NA%NA,G6,4
97d43ee1-163a-44ad-acf8-014f2ed1180d,NA%NA%NA%NA%NA%NA%NA,H6,3
b638ec2e-d481-43f8-a2a3-25a297155822,NA%NA%NA%NA%NA%NA%NA,G6,1
ce41c4f9-0343-4459-bb3f-fde4de8df980,NA%NA%NA%NA%NA%NA%NA,D7,1
d0c564e3-d8a8-43e1-b9fa-409a3781fa96,NA%NA%NA%NA%NA%NA%NA,A8,1
d0c564e3-d8a8-43e1-b9fa-409a3781fa96,NA%NA%NA%NA%NA%NA%NA,B8,1
d0c564e3-d8a8-43e1-b9fa-409a3781fa96,NA%NA%NA%NA%NA%NA%NA,F7,1
d0c564e3-d8a8-43e1-b9fa-409a3781fa96,NA%NA%NA%NA%NA%NA%NA,G7,1
d0c564e3-d8a8-43e1-b9fa-409a3781fa96,NA%NA%NA%NA%NA%NA%NA,H5,1
d9db4c86-625b-463b-ac33-9f35351ae9e6,NA%NA%NA%NA%NA%NA%NA,B8,1
d9db4c86-625b-463b-ac33-9f35351ae9e6,NA%NA%NA%NA%NA%NA%NA,E7,2
d9db4c86-625b-463b-ac33-9f35351ae9e6,NA%NA%NA%NA%NA%NA%NA,G7,1
d9db4c86-625b-463b-ac33-9f35351ae9e6,NA%NA%NA%NA%NA%NA%NA,H5,1
285c1bd7-c2f3-467f-945b-5b4052b7191c,NA%NA%NA%NA%NA%NA%NA,B8,6
285c1bd7-c2f3-467f-945b-5b4052b7191c,NA%NA%NA%NA%NA%NA%NA,E7,1
285c1bd7-c2f3-467f-945b-5b4052b7191c,NA%NA%NA%NA%NA%NA%NA,F7,3
285c1bd7-c2f3-467f-945b-5b4052b7191c,NA%NA%NA%NA%NA%NA%NA,G7,1
285c1bd7-c2f3-467f-945b-5b4052b7191c,NA%NA%NA%NA%NA%NA%NA,H5,1
285c1bd7-c2f3-467f-945b-5b4052b7191c,NA%NA%NA%NA%NA%NA%NA,unknown,1
29b455b0-eeb6-4fcb-895f-a4d2700198b7,NA%NA%NA%NA%NA%NA%NA,C7,1
29b455b0-eeb6-4fcb-895f-a4d2700198b7,NA%NA%NA%NA%NA%NA%NA,G6,2
29b455b0-eeb6-4fcb-895f-a4d2700198b7,NA%NA%NA%NA%NA%NA%NA,H6,1
3506f9f5-9ef9-4675-8812-55789e18515d,NA%NA%NA%NA%NA%NA%NA,D6,1
3506f9f5-9ef9-4675-8812-55789e18515d,NA%NA%NA%NA%NA%NA%NA,H6,1
60b58c25-ef90-4ccd-9bbf-371476e91d8d,NA%NA%NA%NA%NA%NA%NA,G6,1
7eec8ce9-b9b2-4ea9-9121-5333fcabe095,NA%NA%NA%NA%NA%NA%NA,A8,2
7eec8ce9-b9b2-4ea9-9121-5333fcabe095,NA%NA%NA%NA%NA%NA%NA,B8,2
7eec8ce9-b9b2-4ea9-9121-5333fcabe095,NA%NA%NA%NA%NA%NA%NA,E7,1
7eec8ce9-b9b2-4ea9-9121-5333fcabe095,NA%NA%NA%NA%NA%NA%NA,F7,1
7eec8ce9-b9b2-4ea9-9121-5333fcabe095,NA%NA%NA%NA%NA%NA%NA,G7,2
7eec8ce9-b9b2-4ea9-9121-5333fcabe095,NA%NA%NA%NA%NA%NA%NA,H5,2
91b0dfe0-f5a7-4e48-bc8f-52778701c21d,NA%NA%NA%NA%NA%NA%NA,A7,1
91b0dfe0-f5a7-4e48-bc8f-52778701c21d,NA%NA%NA%NA%NA%NA%NA,C7,2
91b0dfe0-f5a7-4e48-bc8f-52778701c21d,NA%NA%NA%NA%NA%NA%NA,H6,1
b7cec533-f035-4f3b-8201-755776060735,NA%NA%NA%NA%NA%NA%NA,H6,1
d2de414e-a54f-4254-be28-436eee9295c7,NA%NA%NA%NA%NA%NA%NA,D7,1
d2de414e-a54f-4254-be28-436eee9295c7,NA%NA%NA%NA%NA%NA%NA,G6,1
d2de414e-a54f-4254-be28-436eee9295c7,NA%NA%NA%NA%NA%NA%NA,H6,5
d2de414e-a54f-4254-be28-436eee9295c7,NA%NA%NA%NA%NA%NA%NA,unknown,1
04285b26-f98b-4e95-b184-c7afe53f7539,NA%NA%NA%NA%NA%NA%NA,H6,2
0645f9eb-147e-42b2-b286-b2acb9483512,NA%NA%NA%NA%NA%NA%NA,B7,1
0645f9eb-147e-42b2-b286-b2acb9483512,NA%NA%NA%NA%NA%NA%NA,D7,2
0645f9eb-147e-42b2-b286-b2acb9483512,NA%NA%NA%NA%NA%NA%NA,G6,2
0645f9eb-147e-42b2-b286-b2acb9483512,NA%NA%NA%NA%NA%NA%NA,H6,3
1c37359a-dfce-4cf6-8ab4-1f09e2261159,NA%NA%NA%NA%NA%NA%NA,B8,1
1c37359a-dfce-4cf6-8ab4-1f09e2261159,NA%NA%NA%NA%NA%NA%NA,H5,2
1dec93a6-b142-4388-9067-7b3932bfa559,NA%NA%NA%NA%NA%NA%NA,B7,1
2a35eb55-108b-4cff-b82e-cf1575296da3,NA%NA%NA%NA%NA%NA%NA,A7,1
2a35eb55-108b-4cff-b82e-cf1575296da3,NA%NA%NA%NA%NA%NA%NA,B7,1
2a35eb55-108b-4cff-b82e-cf1575296da3,NA%NA%NA%NA%NA%NA%NA,D7,1
2a35eb55-108b-4cff-b82e-cf1575296da3,NA%NA%NA%NA%NA%NA%NA,H6,3
3b8bcfc7-87ab-43f7-b6bf-d094843ec537,NA%NA%NA%NA%NA%NA%NA,E7,2
3b8bcfc7-87ab-43f7-b6bf-d094843ec537,NA%NA%NA%NA%NA%NA%NA,H6,1
72eaa435-6694-47c8-828c-5480cbc85d93,NA%NA%NA%NA%NA%NA%NA,A8,8
72eaa435-6694-47c8-828c-5480cbc85d93,NA%NA%NA%NA%NA%NA%NA,B8,3
72eaa435-6694-47c8-828c-5480cbc85d93,NA%NA%NA%NA%NA%NA%NA,F7,3
72eaa435-6694-47c8-828c-5480cbc85d93,NA%NA%NA%NA%NA%NA%NA,H5,2
af66c7f6-8c50-4f5e-a2b4-5d44308876eb,NA%NA%NA%NA%NA%NA%NA,C7,1
c182abce-e58b-4340-b5b9-9ae8f3e4f2f1,NA%NA%NA%NA%NA%NA%NA,C8,3
c182abce-e58b-4340-b5b9-9ae8f3e4f2f1,NA%NA%NA%NA%NA%NA%NA,E8,2
c182abce-e58b-4340-b5b9-9ae8f3e4f2f1,NA%NA%NA%NA%NA%NA%NA,G8,1
c182abce-e58b-4340-b5b9-9ae8f3e4f2f1,NA%NA%NA%NA%NA%NA%NA,H4,2
c2d8b44a-74b6-49e9-987f-9fe82659c423,NA%NA%NA%NA%NA%NA%NA,C7,1
c2d8b44a-74b6-49e9-987f-9fe82659c423,NA%NA%NA%NA%NA%NA%NA,G6,1
faa53f87-5296-433b-ba69-3cae60c4fc43,NA%NA%NA%NA%NA%NA%NA,A7,1
faa53f87-5296-433b-ba69-3cae60c4fc43,NA%NA%NA%NA%NA%NA%NA,D7,1
faa53f87-5296-433b-ba69-3cae60c4fc43,NA%NA%NA%NA%NA%NA%NA,G6,2
faa53f87-5296-433b-ba69-3cae60c4fc43,NA%NA%NA%NA%NA%NA%NA,H6,8
fbf4a47a-9362-42fd-b51f-7df7adb45b3b,NA%NA%NA%NA%NA%NA%NA,G6,2
166270af-53a3-42c7-8dda-6da47a068d42,NA%NA%NA%NA%NA%NA%NA,D7,2
166270af-53a3-42c7-8dda-6da47a068d42,NA%NA%NA%NA%NA%NA%NA,H6,1
21a96c81-204c-4625-b83d-955b3cc7b489,NA%NA%NA%NA%NA%NA%NA,E8,1
2b7e6022-23e6-43b9-81e2-2003e063dbdc,NA%NA%NA%NA%NA%NA%NA,C7,1
30a4c8b0-4f61-49e1-94f6-7ad352c4e2c8,NA%NA%NA%NA%NA%NA%NA,A8,4
30a4c8b0-4f61-49e1-94f6-7ad352c4e2c8,NA%NA%NA%NA%NA%NA%NA,B8,1
30a4c8b0-4f61-49e1-94f6-7ad352c4e2c8,NA%NA%NA%NA%NA%NA%NA,F7,3
30a4c8b0-4f61-49e1-94f6-7ad352c4e2c8,NA%NA%NA%NA%NA%NA%NA,H5,2
31dca037-0c8c-4fcd-8992-f5f31064f068,NA%NA%NA%NA%NA%NA%NA,H6,1
5b4d218c-3c7a-49dd-9eff-e0a55c043b79,NA%NA%NA%NA%NA%NA%NA,A8,1
5b4d218c-3c7a-49dd-9eff-e0a55c043b79,NA%NA%NA%NA%NA%NA%NA,B8,3
5b4d218c-3c7a-49dd-9eff-e0a55c043b79,NA%NA%NA%NA%NA%NA%NA,E6,1
5b4d218c-3c7a-49dd-9eff-e0a55c043b79,NA%NA%NA%NA%NA%NA%NA,E7,1
5b4d218c-3c7a-49dd-9eff-e0a55c043b79,NA%NA%NA%NA%NA%NA%NA,F7,4
5b4d218c-3c7a-49dd-9eff-e0a55c043b79,NA%NA%NA%NA%NA%NA%NA,G7,1
778156a6-e3de-455a-bf05-1289a47d0ee3,NA%NA%NA%NA%NA%NA%NA,A8,2
778156a6-e3de-455a-bf05-1289a47d0ee3,NA%NA%NA%NA%NA%NA%NA,B8,3
778156a6-e3de-455a-bf05-1289a47d0ee3,NA%NA%NA%NA%NA%NA%NA,D6,1
778156a6-e3de-455a-bf05-1289a47d0ee3,NA%NA%NA%NA%NA%NA%NA,H4,1
778156a6-e3de-455a-bf05-1289a47d0ee3,NA%NA%NA%NA%NA%NA%NA,H5,9
778156a6-e3de-455a-bf05-1289a47d0ee3,NA%NA%NA%NA%NA%NA%NA,H6,1
b2912ec1-c7db-47b3-841b-f9ceaf9d9c36,NA%NA%NA%NA%NA%NA%NA,G6,1
b2912ec1-c7db-47b3-841b-f9ceaf9d9c36,NA%NA%NA%NA%NA%NA%NA,H6,2
b48ed091-e0c4-42c7-beab-9ff265a642c9,NA%NA%NA%NA%NA%NA%NA,D7,1
bc883a62-5bd1-41f3-8371-e331cf781614,NA%NA%NA%NA%NA%NA%NA,C7,1
bc883a62-5bd1-41f3-8371-e331cf781614,NA%NA%NA%NA%NA%NA%NA,D7,2
bc883a62-5bd1-41f3-8371-e331cf781614,NA%NA%NA%NA%NA%NA%NA,G6,3
bc883a62-5bd1-41f3-8371-e331cf781614,NA%NA%NA%NA%NA%NA%NA,H6,2
d45c24d6-e926-47d4-9533-c271019ba86e,NA%NA%NA%NA%NA%NA%NA,D6,1
d45c24d6-e926-47d4-9533-c271019ba86e,NA%NA%NA%NA%NA%NA%NA,H6,1
d7e4e5e8-5c6a-4699-809a-bf1545779a44,NA%NA%NA%NA%NA%NA%NA,A8,9
d7e4e5e8-5c6a-4699-809a-bf1545779a44,NA%NA%NA%NA%NA%NA%NA,B8,16
d7e4e5e8-5c6a-4699-809a-bf1545779a44,NA%NA%NA%NA%NA%NA%NA,E7,1
d7e4e5e8-5c6a-4699-809a-bf1545779a44,NA%NA%NA%NA%NA%NA%NA,F7,6
d7e4e5e8-5c6a-4699-809a-bf1545779a44,NA%NA%NA%NA%NA%NA%NA,G7,2
d7e4e5e8-5c6a-4699-809a-bf1545779a44,NA%NA%NA%NA%NA%NA%NA,H5,14
e32d1775-c174-4702-9191-44b5ffefe4bb,NA%NA%NA%NA%NA%NA%NA,G6,4
e32d1775-c174-4702-9191-44b5ffefe4bb,NA%NA%NA%NA%NA%NA%NA,H6,1
016994e4-e5c1-48da-a536-1a0f63153cc3,NA%NA%NA%NA%NA%NA%NA,D7,1
355773a8-d490-4e86-a9d9-35b5479c911f,NA%NA%NA%NA%NA%NA%NA,G6,1
355773a8-d490-4e86-a9d9-35b5479c911f,NA%NA%NA%NA%NA%NA%NA,H6,2
37cc46af-6c38-4b40-bd06-b18b901073cf,NA%NA%NA%NA%NA%NA%NA,B7,1
37cc46af-6c38-4b40-bd06-b18b901073cf,NA%NA%NA%NA%NA%NA%NA,G6,1
37cc46af-6c38-4b40-bd06-b18b901073cf,NA%NA%NA%NA%NA%NA%NA,G7,1
37cc46af-6c38-4b40-bd06-b18b901073cf,NA%NA%NA%NA%NA%NA%NA,H6,3
5db3fa1e-b896-49fc-a0d7-64f7f187163d,NA%NA%NA%NA%NA%NA%NA,D6,1
5db3fa1e-b896-49fc-a0d7-64f7f187163d,NA%NA%NA%NA%NA%NA%NA,E6,1
5db3fa1e-b896-49fc-a0d7-64f7f187163d,NA%NA%NA%NA%NA%NA%NA,F6,3
65d4dd11-26e2-4a07-a756-ea9eca51daff,NA%NA%NA%NA%NA%NA%NA,H6,1
6af639a5-d10c-42b7-9c2f-76df62c57386,NA%NA%NA%NA%NA%NA%NA,C7,1
6af639a5-d10c-42b7-9c2f-76df62c57386,NA%NA%NA%NA%NA%NA%NA,D7,1
6af639a5-d10c-42b7-9c2f-76df62c57386,NA%NA%NA%NA%NA%NA%NA,G6,2
6af639a5-d10c-42b7-9c2f-76df62c57386,NA%NA%NA%NA%NA%NA%NA,H6,1
808ef270-1a5d-4823-8272-f3d65bc96212,NA%NA%NA%NA%NA%NA%NA,D7,1
975d0d92-ec72-4112-ac9a-87ab7ea941ff,NA%NA%NA%NA%NA%NA%NA,C8,3
9ec60938-1145-4ed0-9442-b87067a2d498,NA%NA%NA%NA%NA%NA%NA,A7,3
9ec60938-1145-4ed0-9442-b87067a2d498,NA%NA%NA%NA%NA%NA%NA,B7,2
9ec60938-1145-4ed0-9442-b87067a2d498,NA%NA%NA%NA%NA%NA%NA,D7,2
9ec60938-1145-4ed0-9442-b87067a2d498,NA%NA%NA%NA%NA%NA%NA,G6,3
9ec60938-1145-4ed0-9442-b87067a2d498,NA%NA%NA%NA%NA%NA%NA,H6,6
9ec60938-1145-4ed0-9442-b87067a2d498,NA%NA%NA%NA%NA%NA%NA,unknown,1
c6d75a7c-4c9c-457f-83d8-9f87139641b5,NA%NA%NA%NA%NA%NA%NA,B7,3
c6d75a7c-4c9c-457f-83d8-9f87139641b5,NA%NA%NA%NA%NA%NA%NA,C7,1
c6d75a7c-4c9c-457f-83d8-9f87139641b5,NA%NA%NA%NA%NA%NA%NA,H6,1
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,A7,1
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,B7,2
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,C7,1
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,D6,1
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,D7,3
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,E6,1
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,F7,2
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,G6,2
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,H5,1
d4cfdb82-3831-4b6c-9b21-f3d68181fec8,NA%NA%NA%NA%NA%NA%NA,H6,3
08df75b3-b6d7-486d-bf56-cadaa581d03c,NA%NA%NA%NA%NA%NA%NA,A7,1
08df75b3-b6d7-486d-bf56-cadaa581d03c,NA%NA%NA%NA%NA%NA%NA,B7,3
08df75b3-b6d7-486d-bf56-cadaa581d03c,NA%NA%NA%NA%NA%NA%NA,G6,3
08df75b3-b6d7-486d-bf56-cadaa581d03c,NA%NA%NA%NA%NA%NA%NA,H6,1
1b6e7e5e-a979-47c9-94b0-fe22296e5a98,NA%NA%NA%NA%NA%NA%NA,A7,1
1b6e7e5e-a979-47c9-94b0-fe22296e5a98,NA%NA%NA%NA%NA%NA%NA,B7,2
1b6e7e5e-a979-47c9-94b0-fe22296e5a98,NA%NA%NA%NA%NA%NA%NA,C7,1
1b6e7e5e-a979-47c9-94b0-fe22296e5a98,NA%NA%NA%NA%NA%NA%NA,G6,2
1b6e7e5e-a979-47c9-94b0-fe22296e5a98,NA%NA%NA%NA%NA%NA%NA,H6,1
229bf38e-b1b2-49f7-b653-a53b49ab6a28,NA%NA%NA%NA%NA%NA%NA,H6,1
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,A6,2
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,A7,2
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,A8,3119
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,B6,7
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,B8,2487
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,C7,1
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,C8,1
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,D6,6
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,E6,2
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,E7,2542
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,F6,2
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,F7,4356
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,G6,4
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,G7,3351
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,H4,2
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,H5,4704
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,H6,1
5a5d17e9-5881-4d50-b1b0-e49e36225646,NA%NA%NA%NA%NA%NA%NA,unknown,19
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,C8,4
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,D8,2
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,E6,1
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,E8,4
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,F8,10
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,G8,3
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,H4,14
66d868a9-b377-4034-9f86-cd6ff0e3f7c3,NA%NA%NA%NA%NA%NA%NA,unknown,1
a98d6451-8038-49fe-bcf3-a938f26f51de,NA%NA%NA%NA%NA%NA%NA,F7,1
a98d6451-8038-49fe-bcf3-a938f26f51de,NA%NA%NA%NA%NA%NA%NA,G7,2
afe86f07-0fdd-4021-a1f0-c68f03df694d,NA%NA%NA%NA%NA%NA%NA,C7,3
afe86f07-0fdd-4021-a1f0-c68f03df694d,NA%NA%NA%NA%NA%NA%NA,D7,1
afe86f07-0fdd-4021-a1f0-c68f03df694d,NA%NA%NA%NA%NA%NA%NA,G6,6
afe86f07-0fdd-4021-a1f0-c68f03df694d,NA%NA%NA%NA%NA%NA%NA,H6,7
beb8a061-8630-4f3f-8fca-bfe7c81fd4a9,NA%NA%NA%NA%NA%NA%NA,B7,1
beb8a061-8630-4f3f-8fca-bfe7c81fd4a9,NA%NA%NA%NA%NA%NA%NA,C7,1
beb8a061-8630-4f3f-8fca-bfe7c81fd4a9,NA%NA%NA%NA%NA%NA%NA,G6,3
beb8a061-8630-4f3f-8fca-bfe7c81fd4a9,NA%NA%NA%NA%NA%NA%NA,H6,2
c0861ea0-b0eb-47a5-bef0-604db073b8eb,NA%NA%NA%NA%NA%NA%NA,E6,1
dd6adf6e-3706-456b-8151-dab674f235b4,NA%NA%NA%NA%NA%NA%NA,A7,2
dd6adf6e-3706-456b-8151-dab674f235b4,NA%NA%NA%NA%NA%NA%NA,C7,2
dd6adf6e-3706-456b-8151-dab674f235b4,NA%NA%NA%NA%NA%NA%NA,D7,2
dd6adf6e-3706-456b-8151-dab674f235b4,NA%NA%NA%NA%NA%NA%NA,G6,8
dd6adf6e-3706-456b-8151-dab674f235b4,NA%NA%NA%NA%NA%NA%NA,H6,9
dd6adf6e-3706-456b-8151-dab674f235b4,NA%NA%NA%NA%NA%NA%NA,unknown,1
dda1ca28-5ced-41f1-af8c-44d24868eeeb,NA%NA%NA%NA%NA%NA%NA,B7,1
dda1ca28-5ced-41f1-af8c-44d24868eeeb,NA%NA%NA%NA%NA%NA%NA,C7,1
dda1ca28-5ced-41f1-af8c-44d24868eeeb,NA%NA%NA%NA%NA%NA%NA,G6,1
3646a8a9-d7ca-445a-aa70-176f927938c0,NA%NA%NA%NA%NA%NA%NA,A8,4
3646a8a9-d7ca-445a-aa70-176f927938c0,NA%NA%NA%NA%NA%NA%NA,B8,4
3646a8a9-d7ca-445a-aa70-176f927938c0,NA%NA%NA%NA%NA%NA%NA,D7,1
3646a8a9-d7ca-445a-aa70-176f927938c0,NA%NA%NA%NA%NA%NA%NA,F7,2
3646a8a9-d7ca-445a-aa70-176f927938c0,NA%NA%NA%NA%NA%NA%NA,G7,1
3646a8a9-d7ca-445a-aa70-176f927938c0,NA%NA%NA%NA%NA%NA%NA,H5,6
37dd5fd3-a3d4-4b24-811e-52735aafdbf2,NA%NA%NA%NA%NA%NA%NA,E6,1
37dd5fd3-a3d4-4b24-811e-52735aafdbf2,NA%NA%NA%NA%NA%NA%NA,F6,1
44ba7dd3-b0c4-41e6-9864-ba382da10aef,NA%NA%NA%NA%NA%NA%NA,C7,1
44ba7dd3-b0c4-41e6-9864-ba382da10aef,NA%NA%NA%NA%NA%NA%NA,D7,2
44ba7dd3-b0c4-41e6-9864-ba382da10aef,NA%NA%NA%NA%NA%NA%NA,G6,2
44ba7dd3-b0c4-41e6-9864-ba382da10aef,NA%NA%NA%NA%NA%NA%NA,H6,2
4938b277-10d4-4d9f-9503-e549b7bc64f9,NA%NA%NA%NA%NA%NA%NA,B7,1
4938b277-10d4-4d9f-9503-e549b7bc64f9,NA%NA%NA%NA%NA%NA%NA,H6,1
4d9232b8-5410-4bf1-89d1-6c9fe71d05fb,NA%NA%NA%NA%NA%NA%NA,C7,1
587971f7-2630-4658-9309-3f5a435f1cda,NA%NA%NA%NA%NA%NA%NA,A7,1
587971f7-2630-4658-9309-3f5a435f1cda,NA%NA%NA%NA%NA%NA%NA,G6,1
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,A7,1
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,B7,2
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,C7,7
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,D7,5
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,G6,8
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,H5,1
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,H6,13
5d989732-106f-4df3-a8e9-b6f9e3a02eb1,NA%NA%NA%NA%NA%NA%NA,unknown,1
61695470-0ee4-45cf-b611-5fb0cea8e338,NA%NA%NA%NA%NA%NA%NA,A8,2
61695470-0ee4-45cf-b611-5fb0cea8e338,NA%NA%NA%NA%NA%NA%NA,E7,1
61695470-0ee4-45cf-b611-5fb0cea8e338,NA%NA%NA%NA%NA%NA%NA,G7,4
61695470-0ee4-45cf-b611-5fb0cea8e338,NA%NA%NA%NA%NA%NA%NA,H5,1
7e16d137-6764-4c9f-9145-72cba7ea9821,NA%NA%NA%NA%NA%NA%NA,A8,2
7e16d137-6764-4c9f-9145-72cba7ea9821,NA%NA%NA%NA%NA%NA%NA,E7,1
7e16d137-6764-4c9f-9145-72cba7ea9821,NA%NA%NA%NA%NA%NA%NA,F6,1
7e16d137-6764-4c9f-9145-72cba7ea9821,NA%NA%NA%NA%NA%NA%NA,F7,1
7e16d137-6764-4c9f-9145-72cba7ea9821,NA%NA%NA%NA%NA%NA%NA,G7,1
7e16d137-6764-4c9f-9145-72cba7ea9821,NA%NA%NA%NA%NA%NA%NA,H5,2
8584ab9c-9f2c-4521-9fc8-66fd5ede560b,NA%NA%NA%NA%NA%NA%NA,A8,2
8584ab9c-9f2c-4521-9fc8-66fd5ede560b,NA%NA%NA%NA%NA%NA%NA,B8,2
8584ab9c-9f2c-4521-9fc8-66fd5ede560b,NA%NA%NA%NA%NA%NA%NA,G7,2
8584ab9c-9f2c-4521-9fc8-66fd5ede560b,NA%NA%NA%NA%NA%NA%NA,H5,4
a31efae5-218b-4067-889c-d6312e7f037c,NA%NA%NA%NA%NA%NA%NA,C7,1
a31efae5-218b-4067-889c-d6312e7f037c,NA%NA%NA%NA%NA%NA%NA,G6,2
a31efae5-218b-4067-889c-d6312e7f037c,NA%NA%NA%NA%NA%NA%NA,G7,1
a31efae5-218b-4067-889c-d6312e7f037c,NA%NA%NA%NA%NA%NA%NA,H6,2
ee8d554f-c25a-4646-b5b6-0f4fa8c73786,NA%NA%NA%NA%NA%NA%NA,C7,1
ee8d554f-c25a-4646-b5b6-0f4fa8c73786,NA%NA%NA%NA%NA%NA%NA,G6,1
ee8d554f-c25a-4646-b5b6-0f4fa8c73786,NA%NA%NA%NA%NA%NA%NA,H6,3
1e910c1f-9d6c-4904-bfe2-4c3350654cc4,NA%NA%NA%NA%NA%NA%NA,H6,3
4168223a-4066-43ca-a940-61324c67b424,NA%NA%NA%NA%NA%NA%NA,H6,2
72b46fd6-34b6-467a-b632-a9212554b0ca,NA%NA%NA%NA%NA%NA%NA,B7,1
72b46fd6-34b6-467a-b632-a9212554b0ca,NA%NA%NA%NA%NA%NA%NA,D7,1
