barcode,Centroid,nReads
A6,1f342266-7a73-4591-8f6e-c578c730c600,14
A6,1f4deab7-ba1a-42aa-9977-f6e312f43f39,53
A6,20218a4e-d637-4e0f-bbb3-8245b2878f37,1
A6,207ed692-5449-473f-9907-6fa37a4acfb5,639
A6,20835ae9-1371-4a7c-b030-67cdc726b9f7,2
A6,2087144c-4e40-45a1-83e6-62e47de98aea,1
A6,20b66839-a063-46f3-b982-57a7121b4683,232
A6,212aafd2-0362-4e1a-b3f6-7941ee7d58ae,1
A6,214e4797-85cb-485c-95ed-68e60f736118,1
A6,217cec93-f994-41ac-8ba7-a4704fa36c4a,1
A6,229f9f90-5150-4679-a77c-7afe51acbc9f,15
A6,23d3ce37-7e0d-424d-84f8-9249cdd698f4,1144
A6,23d5f3c3-bcc8-43cd-821d-02c591c1e951,23
A6,24894f22-5b7d-4cea-9589-fc32c3a94cd1,2
A6,257db5a2-9da0-445a-a40d-437fdee83e78,1
A6,2814fa60-1547-4fe6-bc4d-c71a5779aa57,1
A6,281d2dfb-a3c9-4f16-a432-66e24851233d,1
A6,2836cd52-6480-4902-9538-beb194c64f64,1
A6,2854bcb9-d360-479c-a62b-62b9f419632e,152
A6,28f8763e-db6f-4922-831a-17f70bb86ace,1
A6,28fc7652-a620-486c-bed2-e84d9337661c,490
A6,29164859-8454-442e-83d2-163197993eed,5
A6,296d0564-62a2-462f-9343-4160fb119baa,1
A6,297798cd-8067-4516-ac8d-d09bcbe5fab9,9
A6,299bee28-5deb-402e-8cb3-6bec57da7088,1
A6,29a48284-3220-4926-9456-7a34a9610429,1
A6,29c2b38f-07aa-4030-ada8-83ef9a7b25b3,1
A6,29e9d9f8-bae4-4830-a6a9-ec7462edc0af,6
A6,2a272c71-b18c-453b-ac12-bf2f9a60904c,4
A6,2a640922-ce5e-4396-b306-221266bb9591,1
A6,2a6f0c2e-2a1d-40e0-8e18-545fc14119b3,1
A6,2b0f528f-4484-41b6-a1d4-f0d73e161ef5,168
A6,2bf91f32-52ea-4b90-89ba-def3798674a7,26
A6,2c055502-3dbe-4e3a-b0ae-c5df1b659e27,5
A6,2c085afb-c41a-4ed4-abfb-10c8b19200ed,2
A6,2c2da355-0243-4452-8ae0-92817a080862,1
A6,2c327303-8d6f-440b-a67c-60c10af60525,5
A6,2ca8c87d-fdd3-4434-b26e-c11365271057,955
A6,2d7f4611-a52c-49f3-9ba1-55f9608c220f,1
A6,2d9516f5-622e-443c-b63b-b1a44630adae,4
A6,2ed707f0-509e-4b51-91f0-1e9e2569974d,14
A6,2f1a9c1f-22a5-46eb-969c-618b7b628461,1
A6,2ff23175-1025-4c32-be9f-0b7167900abf,3
A6,2ffb6675-cdbd-42c0-815c-1ae8f755187a,5
A6,3001a48d-a584-4f9b-8556-19912dc49000,1
A6,3041910c-9eb9-4e60-899c-e8879db69c35,11
A6,30972a43-df1a-4476-aff2-ff0ef0b43174,8
A6,311828dc-da33-44f3-9e54-f7674ce645bd,1
A6,3136fe17-96ae-4059-bb5f-c76a73b7445d,4
A6,315644c7-5c75-485b-a9cb-8aafe131311e,1
A6,3192d13a-2f39-4161-b1dc-b30b30cfb38b,1
A6,31d512fd-410f-434c-9087-670312017a46,360
